sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
2,36.0,3,2,4,2,0,2,6,2,3,2,FDP,2,0
2,66.0,6,2,4,2,0,8,7,4,1,2,SP,1,0
2,51.0,2,2,4,2,0,3,2,2,2,2,SVP,2,0
2,54.0,6,2,4,2,0,2,5,4,1,2,SP,2,0
2,73.0,2,2,4,2,0,8,2,3,1,2,SVP,2,0
1,28.0,2,2,4,2,0,3,1,3,2,2,SVP,2,0
1,47.0,6,2,4,2,0,3,1,1,0,2,SVP,2,0
1,32.0,6,2,4,2,0,3,2,3,1,2,SVP,1,0
1,67.0,6,2,4,2,0,4,5,1,1,2,FDP,1,0
1,68.0,6,2,4,2,0,8,1,3,2,2,SVP,2,0
2,53.0,6,2,4,1,0,2,5,3,3,2,SP,2,0
2,36.0,3,2,4,2,0,2,7,3,3,2,SP,2,0
2,55.0,2,2,4,1,0,2,7,1,1,2,SP,2,0
1,42.0,6,2,4,1,0,2,5,3,1,2,SP,2,0
1,47.0,0,2,4,1,0,2,5,1,1,2,SP,2,0
1,33.0,6,2,1,1,0,4,7,3,2,2,SP,0,0
2,35.0,6,2,4,2,0,2,2,4,2,2,SVP,2,0
2,43.0,6,2,4,2,0,2,2,2,3,2,EVP,1,0
2,58.0,6,2,4,2,0,2,7,4,3,2,SP,2,0
2,44.0,2,2,4,2,0,2,7,3,3,2,SVP,1,0
2,26.0,2,2,4,2,0,2,6,4,2,2,SVP,2,0
2,47.0,6,2,4,2,0,2,1,3,1,2,SVP,2,0
1,39.0,6,2,3,2,0,4,5,1,1,2,SP,2,0
1,49.0,6,2,4,2,0,2,6,4,2,2,SP,2,0
1,37.0,2,2,4,2,0,4,0,3,1,2,SVP,1,0
1,49.0,6,2,4,2,0,2,5,1,1,2,SP,2,0
1,37.0,2,2,4,2,0,4,0,3,4,2,SP,2,0
1,59.0,6,2,4,2,0,3,1,1,1,2,SVP,2,0
1,37.0,6,2,4,2,0,4,5,1,1,2,SP,2,0
