sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
1,46.0,2,2,4,2,0,2,7,4,2,1,FDP,1
0,42.0,6,2,4,2,0,2,4,2,3,1,SP,2
1,39.0,6,2,1,2,0,2,7,3,2,1,SP,0
1,80.0,6,2,4,2,0,8,7,4,2,1,SP,0
0,57.0,2,2,1,2,0,4,7,1,1,1,CVP,2
1,48.0,6,2,4,2,0,2,5,3,1,1,SP,2
1,31.0,2,2,4,2,0,3,2,4,2,1,SVP,2
1,44.0,2,2,4,2,0,2,2,3,4,1,FDP,2
1,57.0,7,2,1,2,0,2,2,2,3,1,CVP,2
0,41.0,6,2,4,2,0,4,7,3,3,1,FDP,1
0,48.0,6,2,1,2,0,2,5,3,2,1,CVP,1
1,49.0,6,2,4,2,0,2,5,2,4,1,FDP,0
1,36.0,7,2,1,2,0,3,2,2,3,1,CVP,2
1,57.0,2,2,1,2,0,2,7,4,3,1,SP,2
1,41.0,6,2,4,2,0,2,7,3,1,1,SP,2
0,28.0,3,2,4,2,0,4,4,2,4,1,SVP,1
0,29.0,3,2,4,2,0,3,6,3,1,1,FDP,2
1,55.0,6,2,1,2,0,2,7,3,0,1,CVP,2
1,27.0,7,2,4,2,0,2,4,4,2,1,FDP,2
1,53.0,2,2,1,2,0,2,5,1,1,1,FDP,1
1,48.0,3,2,1,2,0,2,6,2,2,1,FDP,2
0,49.0,6,2,1,2,0,4,7,2,1,1,CVP,2
1,63.0,2,2,4,2,0,2,4,3,0,1,SP,2
1,24.0,2,2,4,2,0,2,6,3,3,1,FDP,2
1,65.0,2,2,4,2,0,2,4,4,0,1,SVP,2
0,62.0,2,2,4,2,0,8,6,1,1,1,SVP,2
1,75.0,2,2,4,2,0,8,6,3,3,1,FDP,2
1,50.0,7,2,4,2,0,2,6,2,4,1,FDP,0
1,46.0,2,2,1,2,0,2,6,3,3,1,FDP,2
0,62.0,2,2,4,2,0,4,7,3,1,1,CVP,1
1,68.0,2,2,4,2,0,3,2,2,2,1,FDP,1
1,50.0,6,2,4,2,0,8,5,3,1,1,FDP,2
0,47.0,2,2,4,2,0,4,4,3,2,1,FDP,2
0,59.0,2,2,1,2,0,2,4,1,1,1,FDP,2
1,32.0,2,2,4,2,0,2,7,3,0,1,SVP,2
0,55.0,6,2,1,1,0,4,0,2,2,1,CVP,1
1,24.0,6,2,1,1,0,2,1,3,2,1,CVP,2
1,48.0,6,2,1,1,0,8,4,2,3,1,SP,1
1,51.0,6,2,1,1,0,2,1,1,2,1,CVP,2
1,59.0,4,2,1,1,0,2,6,4,1,1,CVP,2
1,47.0,6,2,1,1,0,2,5,2,2,1,CVP,2
1,30.0,6,2,1,1,0,2,5,2,3,1,CVP,2
1,25.0,6,2,1,1,0,2,5,2,3,1,CVP,2
1,48.0,6,2,1,1,0,2,7,4,4,1,SP,2
0,29.0,6,2,1,1,0,4,3,1,2,1,CVP,1
1,27.0,2,2,1,1,0,2,6,2,2,1,CVP,2
0,25.0,6,2,1,1,0,2,4,1,0,1,CVP,2
1,56.0,6,2,1,1,0,2,6,4,1,1,CVP,2
0,59.0,6,2,1,1,0,4,4,3,0,1,CVP,2
1,67.0,6,2,1,1,0,8,5,3,1,1,CVP,2
1,34.0,2,2,1,1,0,2,6,3,1,1,CVP,2
1,35.0,6,2,4,2,0,2,7,3,2,1,SP,2
0,46.0,2,2,4,2,0,2,4,4,2,1,SVP,2
1,34.0,6,2,4,2,0,2,7,2,2,1,SP,2
0,37.0,6,2,4,2,0,2,5,2,3,1,SP,2
1,50.0,7,2,4,2,0,2,6,2,4,1,SVP,2
0,65.0,6,2,4,2,0,4,0,3,1,1,SP,2
1,59.0,6,2,4,2,0,2,2,2,2,1,SVP,2
1,31.0,2,2,4,2,0,2,7,2,2,1,CVP,2
0,45.0,3,2,1,2,0,2,2,4,2,1,FDP,2
1,60.0,6,2,4,2,0,2,4,4,3,1,SP,2
1,37.0,3,2,4,2,0,2,6,2,4,1,CVP,1
1,45.0,7,2,1,2,0,2,6,2,2,1,CVP,2
1,51.0,6,2,4,2,0,2,5,2,2,1,FDP,1
1,59.0,6,2,1,2,0,2,7,4,1,1,FDP,2
0,69.0,6,2,1,1,0,4,1,1,0,1,CVP,2
0,43.0,0,2,1,1,0,4,5,3,1,1,CVP,2
0,58.0,2,2,1,1,0,2,3,1,2,1,CVP,2
1,62.0,3,2,1,1,0,2,6,4,2,1,CVP,2
1,29.0,6,2,1,1,0,2,7,3,2,1,CVP,2
1,25.0,2,2,1,1,0,2,7,4,4,1,SP,2
0,36.0,6,2,1,1,0,4,0,2,2,1,CVP,2
0,21.0,3,2,4,2,0,2,3,3,3,1,EVP,2
0,45.0,3,2,4,2,0,4,6,2,2,1,SVP,2
1,53.0,6,2,4,2,0,2,5,3,2,1,FDP,2
1,31.0,7,2,4,2,0,2,6,4,4,1,FDP,2
0,88.0,6,2,1,1,0,4,0,3,1,1,CVP,2
1,59.0,6,2,1,1,0,2,5,1,1,1,SP,2
1,52.0,6,2,1,1,0,2,6,4,1,1,CVP,2
1,72.0,6,2,2,1,0,8,7,1,0,1,SP,2
0,48.0,3,2,1,1,0,4,0,2,2,1,SP,2
1,68.0,6,2,1,1,0,2,5,3,2,1,FDP,2
1,38.0,6,2,4,1,0,2,7,3,2,1,SP,2
1,46.0,3,2,4,1,0,2,7,2,1,1,SP,2
0,30.0,4,2,1,1,0,2,3,2,3,1,CVP,2
0,51.0,6,2,4,1,0,2,5,3,3,1,FDP,2
0,67.0,6,2,4,1,0,4,6,4,4,1,FDP,2
1,66.0,6,2,4,1,0,2,2,3,1,1,FDP,2
1,48.0,6,2,4,1,0,2,1,3,1,1,SVP,2
0,57.0,6,2,1,1,0,2,7,1,3,1,SP,2
1,30.0,6,2,4,1,0,2,5,3,2,1,SP,2
1,64.0,6,2,4,1,0,2,5,1,3,1,SP,2
1,54.0,6,2,4,1,0,2,7,2,3,1,SP,2
0,28.0,4,2,2,1,0,2,3,3,4,1,SP,2
0,48.0,6,2,4,2,0,4,0,1,0,1,SVP,2
0,32.0,6,2,4,2,0,4,0,3,1,1,SVP,2
0,0.0,6,2,4,2,0,8,5,2,3,1,SVP,1
0,50.0,6,2,4,2,0,2,2,2,2,1,SVP,2
1,50.0,6,2,4,2,0,2,2,4,4,1,FDP,2
1,65.0,6,2,4,2,0,8,2,2,1,1,SP,2
1,54.0,6,2,4,2,0,2,6,4,3,1,FDP,2
1,61.0,6,2,4,2,0,2,2,4,1,1,SVP,2
1,65.0,6,2,4,2,0,8,7,4,1,1,FDP,2
1,51.0,6,2,4,2,0,2,5,3,1,1,SP,2
1,68.0,6,2,4,2,0,8,2,4,1,1,SP,2
0,41.0,3,2,4,2,0,4,6,4,4,1,SP,1
0,56.0,6,2,4,2,0,4,0,3,1,1,SP,2
0,55.0,6,2,1,2,0,4,6,2,1,1,SP,2
1,73.0,6,2,1,1,0,8,7,2,4,1,SP,0
1,55.0,6,2,1,1,0,2,5,4,3,1,FDP,0
1,60.0,6,2,4,1,0,2,5,2,2,1,FDP,2
1,40.0,7,2,4,1,0,2,2,3,3,1,FDP,2
0,32.0,7,2,4,1,0,10,0,3,3,1,FDP,2
0,40.0,3,2,4,1,0,4,2,2,3,1,FDP,2
0,50.0,6,2,4,1,0,10,7,3,1,1,FDP,2
1,60.0,6,2,4,1,0,2,7,3,1,1,SP,2
1,24.0,6,2,4,1,0,2,4,4,1,1,FDP,2
0,69.0,3,2,4,1,0,8,0,3,2,1,FDP,2
0,36.0,3,2,4,1,0,2,3,3,2,1,FDP,2
0,50.0,6,2,1,1,0,4,0,3,2,1,SP,2
0,48.0,3,2,2,1,0,4,6,2,2,1,FDP,2
1,21.0,3,2,4,2,0,2,1,3,3,1,FDP,1
1,47.0,3,2,4,1,0,2,1,4,2,1,FDP,2
0,29.0,6,2,4,2,0,4,0,3,1,1,SVP,2
0,39.0,6,2,4,2,0,4,2,2,4,1,FDP,2
0,48.0,6,2,4,2,0,2,2,2,2,1,SVP,2
0,30.0,6,2,4,2,0,2,5,3,1,1,SVP,2
1,59.0,6,2,4,2,0,2,7,4,3,1,SP,2
1,58.0,6,2,4,2,0,2,6,3,1,1,FDP,1
1,54.0,6,2,4,2,0,2,5,1,1,1,SP,2
1,50.0,2,2,4,2,0,2,1,3,2,1,SVP,2
1,61.0,6,2,4,2,0,2,7,3,1,1,SVP,2
1,58.0,6,2,4,2,0,2,6,3,4,1,SVP,2
0,30.0,2,2,4,2,0,2,6,3,3,1,FDP,2
1,22.0,6,2,4,2,0,3,1,2,2,1,SVP,2
0,73.0,6,2,4,2,0,8,4,2,1,1,SVP,1
1,36.0,6,2,4,2,0,2,7,2,2,1,SVP,2
0,42.0,6,2,4,2,0,4,0,2,4,1,SVP,2
0,39.0,4,2,4,2,0,2,6,2,3,1,SVP,2
0,39.0,3,2,4,2,0,2,3,3,3,1,FDP,1
1,37.0,2,2,4,2,0,2,6,2,1,1,SVP,1
0,41.0,6,2,4,2,0,2,1,2,4,1,FDP,2
0,47.0,6,2,4,2,0,4,1,3,0,1,SVP,2
0,63.0,2,2,4,2,0,4,7,2,3,1,SP,2
1,45.0,6,2,4,2,0,2,1,2,1,1,SVP,1
1,57.0,2,2,4,2,0,2,6,4,1,1,SVP,2
1,48.0,6,2,4,2,0,2,2,4,1,1,SP,2
1,78.0,6,2,4,2,0,8,1,3,2,1,SVP,1
1,75.0,6,2,4,2,0,8,1,1,1,1,SVP,1
1,75.0,6,2,4,2,0,8,1,3,2,1,SP,2
0,35.0,6,2,4,2,0,4,4,1,4,1,EVP,2
0,27.0,3,2,1,2,0,4,4,3,3,1,FDP,1
0,36.0,2,2,4,2,0,3,1,2,2,1,SVP,2
0,68.0,2,2,4,2,0,8,4,2,2,1,SVP,2
0,31.0,6,2,4,2,0,2,5,1,2,1,FDP,2
1,61.0,6,2,4,2,0,2,5,2,2,1,SP,2
1,38.0,2,2,4,2,0,2,6,2,3,1,SVP,2
1,33.0,6,2,4,1,0,2,1,3,1,1,SP,0
1,31.0,6,2,1,1,0,2,7,3,4,1,SP,0
1,48.0,3,2,4,1,0,2,6,3,2,1,FDP,0
0,28.0,6,2,4,1,0,4,6,3,3,1,FDP,0
0,54.0,6,2,1,1,0,2,3,1,1,1,SP,0
1,65.0,3,2,1,2,0,8,6,3,4,1,CVP,2
1,34.0,6,2,4,2,0,2,7,3,3,1,FDP,2
1,41.0,6,2,4,2,0,2,7,3,3,1,SP,2
1,29.0,3,2,4,2,0,2,7,2,3,1,FDP,2
1,50.0,2,2,4,2,0,2,7,3,4,1,SP,2
0,35.0,6,2,4,2,0,2,3,2,4,1,SVP,2
0,76.0,6,2,1,2,0,4,5,1,2,1,CVP,1
